,Unnamed: 0,model_region,model,iso_list
132,171,IMAGE 3.4|Oceania,IMAGE 3.4,"['asm', 'aus', 'cok', 'fji', 'pyf', 'kir', 'mhl', 'fsm', 'nru', 'ncl', 'nzl', 'niu', 'mnp', 'plw', 'pcn', 'wsm', 'slb', 'tkl', 'ton', 'tuv', 'vut', 'wlf']"
133,172,IMAGE 3.4|Central America,IMAGE 3.4,"['aia', 'abw', 'bhs', 'brb', 'blz', 'bmu', 'cym', 'cri', 'dma', 'dom', 'slv', 'grd', 'glp', 'gtm', 'hti', 'hnd', 'jam', 'mtq', 'msr', 'nic', 'pan', 'pri', 'kna', 'lca', 'vct', 'tto', 'tca', 'vgb', 'vir']"
134,173,IMAGE 3.4|Rest of Southern Africa,IMAGE 3.4,"['ago', 'bwa', 'lso', 'mwi', 'moz', 'nam', 'swz', 'tza', 'zmb', 'zwe']"
135,174,IMAGE 3.4|Rest of South America,IMAGE 3.4,"['arg', 'bol', 'chl', 'col', 'ecu', 'guf', 'guy', 'pry', 'per', 'sur', 'ury', 'ven']"
136,175,IMAGE 3.4|Rest of South Asia,IMAGE 3.4,"['afg', 'bgd', 'btn', 'mdv', 'npl', 'pak', 'lka']"
137,176,IMAGE 3.4|Russia Region,IMAGE 3.4,"['arm', 'aze', 'geo', 'rus']"
138,177,IMAGE 3.4|South Africa,IMAGE 3.4,['zaf']
139,178,IMAGE 3.4|Southeastern Asia,IMAGE 3.4,"['brn', 'khm', 'lao', 'mys', 'mmr', 'phl', 'sgp', 'tha', 'vnm']"
140,179,IMAGE 3.4|Central Asia,IMAGE 3.4,"['kaz', 'kgz', 'tjk', 'tkm', 'uzb']"
141,180,IMAGE 3.4|Turkey,IMAGE 3.4,['tur']
142,181,IMAGE 3.4|Ukraine Region,IMAGE 3.4,"['blr', 'mda', 'ukr']"
143,182,IMAGE 3.4|United States,IMAGE 3.4,"['spm', 'usa']"
144,183,IMAGE 3.4|Western Africa,IMAGE 3.4,"['ben', 'bfa', 'cmr', 'cpv', 'caf', 'tcd', 'cod', 'civ', 'gnq', 'gab', 'gmb', 'gha', 'gin', 'gnb', 'lbr', 'mli', 'mrt', 'ner', 'nga', 'stp', 'sen', 'sle', 'shn', 'tgo']"
145,184,IMAGE 3.4|Western Europe,IMAGE 3.4,"['and', 'aut', 'bel', 'dnk', 'fro', 'fin', 'fra', 'deu', 'gib', 'grc', 'isl', 'irl', 'ita', 'lie', 'lux', 'mlt', 'mco', 'nld', 'nor', 'prt', 'smr', 'esp', 'swe', 'che', 'gbr', 'vat']"
146,185,"REMIND-MAgPIE 3.4-4.8|Canada, Australia, New Zealand",REMIND-MAgPIE 3.4-4.8,"['aus', 'can', 'hmd', 'nzl', 'spm']"
147,186,REMIND-MAgPIE 3.4-4.8|China and Taiwan,REMIND-MAgPIE 3.4-4.8,"['chn', 'hkg', 'mac', 'twn']"
148,187,REMIND-MAgPIE 3.4-4.8|India,REMIND-MAgPIE 3.4-4.8,['ind']
149,188,REMIND-MAgPIE 3.4-4.8|Japan,REMIND-MAgPIE 3.4-4.8,['jpn']
150,189,REMIND-MAgPIE 3.4-4.8|Other Asia,REMIND-MAgPIE 3.4-4.8,"['afg', 'asm', 'bgd', 'btn', 'iot', 'brn', 'khm', 'cxr', 'cck', 'cok', 'fji', 'pyf', 'atf', 'gum', 'idn', 'kir', 'lao', 'mys', 'mdv', 'mhl', 'fsm', 'mng', 'mmr', 'nru', 'npl', 'ncl', 'niu', 'nfk', 'prk', 'mnp', 'pak', 'plw', 'png', 'phl', 'pcn', 'wsm', 'sgp', 'slb', 'kor', 'lka', 'tha', 'tls', 'tkl', 'ton', 'tuv', 'umi', 'vut', 'vnm', 'wlf']"
151,190,REMIND-MAgPIE 3.4-4.8|Latin America and the Caribbean,REMIND-MAgPIE 3.4-4.8,"['aia', 'ata', 'atg', 'arg', 'abw', 'bhs', 'brb', 'blz', 'bmu', 'bol', 'bes', 'bvt', 'bra', 'vgb', 'cym', 'chl', 'col', 'cri', 'cub', 'cuw', 'cuw', 'dma', 'dom', 'ecu', 'slv', 'flk', 'guf', 'grd', 'glp', 'gtm', 'guy', 'hti', 'hnd', 'jam', 'mtq', 'mex', 'msr', 'nic', 'pan', 'pry', 'per', 'pri', 'blm', 'kna', 'lca', 'maf', 'vct', 'sxm', 'sgs', 'sur', 'tto', 'tca', 'vir', 'ury', 'ven']"
152,191,REMIND-MAgPIE 3.4-4.8|Middle East and North Africa,REMIND-MAgPIE 3.4-4.8,"['dza', 'bhr', 'egy', 'irn', 'irq', 'isr', 'jor', 'kwt', 'lbn', 'lby', 'mar', 'omn', 'pse', 'qat', 'sau', 'sdn', 'syr', 'tun', 'are', 'esh', 'yem']"
153,192,REMIND-MAgPIE 3.4-4.8|Russia and Reforming Economies,REMIND-MAgPIE 3.4-4.8,"['arm', 'aze', 'blr', 'geo', 'kaz', 'kgz', 'mda', 'rus', 'tjk', 'tkm', 'ukr', 'uzb']"
154,193,REMIND-MAgPIE 3.4-4.8|Sub-Saharan Africa,REMIND-MAgPIE 3.4-4.8,"['ago', 'ben', 'bwa', 'bfa', 'bdi', 'cpv', 'cmr', 'caf', 'tcd', 'com', 'cog', 'civ', 'cod', 'dji', 'gnq', 'eri', 'swz', 'eth', 'gab', 'gmb', 'gha', 'gin', 'gnb', 'ken', 'lso', 'lbr', 'mdg', 'mwi', 'mli', 'mrt', 'mus', 'myt', 'moz', 'nam', 'ner', 'nga', 'rwa', 'reu', 'shn', 'stp', 'sen', 'syc', 'sle', 'som', 'zaf', 'ssd', 'tza', 'tgo', 'uga', 'zmb', 'zwe']"
155,194,REMIND-MAgPIE 3.4-4.8|United States of America,REMIND-MAgPIE 3.4-4.8,['usa']
156,195,REMIND-MAgPIE 3.4-4.8|EU 28,REMIND-MAgPIE 3.4-4.8,"['aut', 'bel', 'bgr', 'hrv', 'cyp', 'cze', 'dnk', 'est', 'fro', 'fin', 'fra', 'deu', 'gib', 'gib', 'grc', 'ggy', 'ggy', 'hun', 'irl', 'imn', 'ita', 'ita', 'jey', 'lva', 'ltu', 'lux', 'mlt', 'nld', 'pol', 'prt', 'rou', 'svk', 'svn', 'esp', 'swe', 'gbr', 'ala']"
157,196,REMIND-MAgPIE 3.4-4.8|Non-EU28 Europe,REMIND-MAgPIE 3.4-4.8,"['alb', 'and', 'bih', 'grl', 'isl', 'lie', 'mco', 'mne', 'mkd', 'nor', 'smr', 'srb', 'sjm', 'che', 'tur', 'vat']"
