,Unnamed: 0,model_region,model,iso_list
77,116,WITCH 6.0|Europe (EU+EFTA+Balkan Countries and Turkey),WITCH 6.0,"['bgr', 'cyp', 'cze', 'est', 'hun', 'ltu', 'lva', 'pol', 'rou', 'svk', 'svn', 'mlt', 'hrv', 'aut', 'bel', 'deu', 'dnk', 'esp', 'fin', 'fra', 'gbr', 'grc', 'irl', 'ita', 'lux', 'nld', 'prt', 'swe', 'lie', 'nor', 'che', 'grl', 'isl', 'fro', 'ala', 'and', 'ggy', 'gib', 'imn', 'jey', 'mco', 'sjm', 'smr', 'vat', 'bih', 'alb', 'mkd', 'mne', 'srb']"
78,117,WITCH 6.0|India,WITCH 6.0,['ind']
79,118,WITCH 6.0|Indonesia,WITCH 6.0,['idn']
80,119,WITCH 6.0|Japan and Korea,WITCH 6.0,"['jpn', 'kor', 'prk']"
81,120,WITCH 6.0|Latin America and the Caribbean,WITCH 6.0,"['ata', 'bmu', 'sgs', 'tca', 'vgb', 'vir', 'abw', 'aia', 'arg', 'atg', 'bes', 'bhs', 'blm', 'blz', 'bol', 'brb', 'chl', 'col', 'cri', 'cub', 'cuw', 'cym', 'dma', 'dom', 'ecu', 'flk', 'glp', 'grd', 'gtm', 'guf', 'guy', 'hnd', 'hti', 'jam', 'kna', 'lca', 'maf', 'msr', 'mtq', 'nic', 'pan', 'per', 'pri', 'pry', 'slv', 'sur', 'sxm', 'tto', 'ury', 'vct', 'ven']"
82,121,WITCH 6.0|Middle East and North Africa,WITCH 6.0,"['are', 'bhr', 'dza', 'egy', 'esh', 'irn', 'irq', 'isr', 'jor', 'kwt', 'lbn', 'lby', 'mar', 'omn', 'pse', 'qat', 'sau', 'syr', 'tun', 'yem']"
83,122,WITCH 6.0|Mexico,WITCH 6.0,['mex']
84,123,"WITCH 6.0|Australia, New Zealand, and Oceania islands",WITCH 6.0,"['nzl', 'aus', 'cxr', 'cok', 'hmd', 'nfk', 'niu', 'nru', 'pcn', 'tkl', 'tuv', 'umi', 'wlf', 'fji', 'png', 'fsm', 'gum', 'asm', 'tls', 'pyf', 'kir', 'mnp', 'mhl', 'ncl', 'plw', 'wsm', 'slb', 'ton', 'vut']"
85,124,WITCH 6.0|South Asia,WITCH 6.0,"['afg', 'bgd', 'btn', 'lka', 'mdv', 'npl', 'pak']"
86,125,WITCH 6.0|South East Asia,WITCH 6.0,"['brn', 'cck', 'khm', 'lao', 'mmr', 'mys', 'phl', 'sgp', 'tha', 'vnm']"
87,126,WITCH 6.0|South Africa,WITCH 6.0,['zaf']
88,127,WITCH 6.0|Sub Saharan Africa,WITCH 6.0,"['dji', 'iot', 'bvt', 'atf', 'ago', 'ben', 'bwa', 'bfa', 'bdi', 'cmr', 'cpv', 'caf', 'tcd', 'com', 'cog', 'cod', 'civ', 'gnq', 'eri', 'eth', 'gab', 'gmb', 'gha', 'gin', 'gnb', 'ken', 'lso', 'lbr', 'mdg', 'mwi', 'mli', 'mrt', 'mus', 'myt', 'moz', 'nam', 'ner', 'nga', 'reu', 'rwa', 'stp', 'sen', 'syc', 'shn', 'sle', 'som', 'ssd', 'sdn', 'swz', 'tza', 'tgo', 'uga', 'zmb', 'zwe']"
89,128,WITCH 6.0|Non-EU Eastern European and Transition Countries,WITCH 6.0,"['mng', 'arm', 'aze', 'blr', 'geo', 'kaz', 'kgz', 'mda', 'rus', 'tjk', 'tur', 'tkm', 'ukr', 'uzb']"
90,129,WITCH 6.0|United States of America,WITCH 6.0,['usa']
91,130,MESSAGEix-GLOBIOM 2.1-R12|Sub-Saharan Africa,MESSAGEix-GLOBIOM 2.1-R12,"['ago', 'ben', 'cog', 'cod', 'bdi', 'cmr', 'tcd', 'com', 'caf', 'cpv', 'dji', 'gnq', 'swz', 'eri', 'eth', 'gmb', 'gab', 'gha', 'gin', 'civ', 'ken', 'lbr', 'mdg', 'mli', 'mus', 'mrt', 'moz', 'mwi', 'ner', 'nga', 'gnb', 'rwa', 'syc', 'zaf', 'lso', 'bwa', 'sen', 'sle', 'som', 'tgo', 'stp', 'tza', 'uga', 'bfa', 'nam', 'zmb', 'zwe', 'esh']"
92,131,MESSAGEix-GLOBIOM 2.1-R12|Rest of Centrally Planned Asia,MESSAGEix-GLOBIOM 2.1-R12,"['khm', 'prk', 'lao', 'mng', 'mac', 'vnm']"
93,132,MESSAGEix-GLOBIOM 2.1-R12|China,MESSAGEix-GLOBIOM 2.1-R12,"['chn', 'hkg']"
94,133,MESSAGEix-GLOBIOM 2.1-R12|Eastern Europe,MESSAGEix-GLOBIOM 2.1-R12,"['alb', 'bih', 'bgr', 'est', 'cze', 'hrv', 'hun', 'lva', 'ltu', 'svk', 'mkd', 'mne', 'pol', 'rou', 'svn', 'srb']"
