model,scenario,region,variable,unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2313,2314,2315,2316,2317,2318,2319,2320,2321,2322,2323,2324,2325,2326,2327,2328,2329,2330,2331,2332,2333,2334,2335,2336,2337,2338,2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2349,2350,2351,2352,2353,2354,2355,2356,2357,2358,2359,2360,2361,2362,2363,2364,2365,2366,2367,2368,2369,2370,2371,2372,2373,2374,2375,2376,2377,2378,2379,2380,2381,2382,2383,2384,2385,2386,2387,2388,2389,2390,2391,2392,2393,2394,2395,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2408,2409,2410,2411,2412,2413,2414,2415,2416,2417,2418,2419,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2432,2433,2434,2435,2436,2437,2438,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,2487,2488,2489,2490,2491,2492,2493,2494,2495,2496,2497,2498,2499,2500
REMIND-MAgPIE 3.5-4.11,SSP1 - Very Low Emissions,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,39022,39336,38569,37802,37036,36270,35505,32991,30465,27929,25381,22823,20796,18754,16695,14620,12529,11179,9826,8471,7113,5753,5054,4354,3653,2950,2246,1957,1668,1378,1089,800,583,367,151,-64,-280,-328,-376,-424,-472,-519,-567,-615,-663,-711,-759,-788,-817,-847,-876,-905,-934,-963,-992,-1021,-1051,-1043,-1036,-1029,-1022,-1015,-1008,-1001,-994,-987,-980,-988,-996,-1004,-1013,-1021,-1029,-1037,-1046,-1054,-1062,-1059,-1150,-1237,-1321,-1401,-1477,-1551,-1624,-1693,-1761,-1827,-1893,-1957,-2021,-2085,-2149,-2214,-2280,-2347,-2416,-2487,-2558,-2629,-2701,-2772,-2843,-2915,-2986,-3058,-3130,-3201,-3273,-3344,-3415,-3487,-3558,-3629,-3701,-3772,-3843,-3915,-3986,-4057,-4129,-4200,-4271,-4343,-4414,-4485,-4459,-4432,-4406,-4379,-4352,-4326,-4299,-4272,-4246,-4219,-4192,-4166,-4139,-4112,-4086,-4059,-4032,-4006,-3979,-3953,-3926,-3899,-3873,-3846,-3819,-3793,-3766,-3739,-3713,-3686,-3659,-3645,-3631,-3618,-3605,-3593,-3582,-3571,-3561,-3551,-3543,-3535,-3528,-3521,-3516,-3511,-3507,-3504,-3501,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3488,-3454,-3399,-3326,-3236,-3132,-3015,-2887,-2750,-2607,-2458,-2306,-2154,-2002,-1852,-1708,-1569,-1440,-1321,-1214,-1121,-1046,-972,-897,-822,-747,-672,-598,-523,-448,-408,-369,-332,-296,-262,-230,-200,-172,-145,-121,-99,-78,-60,-44,-31,-20,-11,-5,-1,0
AIM 3.0,SSP2 - Low Overshoot_a,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,39468,40224,39530,38834,38136,37435,36732,36927,37121,37315,37507,37698,35448,33195,30939,28681,26420,25296,24172,23049,21927,20806,19823,18841,17860,16879,15899,14772,13646,12521,11396,10273,9221,8170,7120,6071,5023,3842,2663,1484,307,-868,-1713,-2558,-3401,-4244,-5085,-6251,-7417,-8583,-9749,-10914,-11323,-11731,-12139,-12548,-12956,-14271,-15586,-16901,-18216,-19531,-20424,-21317,-22210,-23103,-23997,-23903,-23810,-23717,-23623,-23530,-23497,-23464,-23430,-23397,-23364,-23440,-23452,-23464,-23475,-23487,-23499,-23510,-23522,-23534,-23545,-23557,-23569,-23580,-23592,-23604,-23615,-23627,-23639,-23650,-23662,-23674,-23685,-23697,-23709,-23720,-23732,-23744,-23755,-23767,-23779,-23790,-23802,-23814,-23825,-23837,-23849,-23860,-23872,-23884,-23895,-23907,-23919,-23930,-23942,-23954,-23965,-23977,-23989,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-24000,-23960,-23847,-23665,-23422,-23124,-22777,-22388,-21963,-21509,-21032,-20538,-20034,-19526,-19021,-18525,-18044,-17585,-17155,-16759,-16404,-16097,-15850,-15602,-15354,-15107,-14859,-14611,-14364,-14116,-13868,-13621,-13373,-13125,-12878,-12630,-12382,-12135,-11887,-11640,-11392,-11144,-10897,-10649,-10401,-10154,-9906,-9658,-9411,-9163,-8915,-8668,-8420,-8172,-7925,-7677,-7429,-7182,-6934,-6686,-6439,-6191,-5943,-5696,-5448,-5200,-4953,-4705,-4457,-4210,-3962,-3714,-3467,-3219,-2971,-2724,-2476,-2228,-1981,-1733,-1485,-1352,-1223,-1099,-982,-869,-763,-663,-569,-482,-401,-327,-261,-201,-149,-104,-67,-38,-17,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,38668,38620,37933,37243,36552,35858,35162,34432,33701,32969,32237,31504,30729,29953,29175,28396,27614,26806,25998,25189,24380,23571,22714,21858,21002,20146,19290,18386,17482,16577,15672,14767,14049,13330,12610,11890,11169,10504,9838,9172,8504,7836,7166,6496,5825,5153,4480,4101,3721,3341,2961,2582,2202,1822,1442,1062,682,507,331,156,-19,-194,-370,-545,-721,-896,-1072,-1287,-1503,-1719,-1935,-2150,-2366,-2582,-2797,-3013,-3229,-3349,-3577,-3802,-4024,-4242,-4456,-4666,-4871,-5071,-5265,-5454,-5638,-5815,-5984,-6148,-6304,-6452,-6593,-6726,-6850,-6965,-7061,-7156,-7251,-7347,-7443,-7539,-7634,-7729,-7825,-7921,-8016,-8112,-8208,-8302,-8398,-8494,-8590,-8685,-8781,-8883,-8985,-9089,-9193,-9297,-9400,-9505,-9610,-9715,-9710,-9706,-9701,-9698,-9695,-9692,-9690,-9688,-9687,-9686,-9686,-9679,-9660,-9628,-9585,-9530,-9465,-9389,-9304,-9210,-9107,-8996,-8878,-8752,-8620,-8482,-8338,-8190,-8037,-7880,-7719,-7556,-7390,-7223,-7054,-6885,-6715,-6545,-6376,-6209,-6043,-5879,-5719,-5562,-5408,-5259,-5115,-4977,-4844,-4718,-4599,-4488,-4388,-4288,-4189,-4089,-3989,-3889,-3790,-3690,-3590,-3490,-3391,-3291,-3191,-3091,-2992,-2892,-2792,-2692,-2593,-2493,-2393,-2293,-2194,-2094,-1994,-1895,-1795,-1695,-1595,-1496,-1396,-1296,-1196,-1097,-997,-897,-797,-698,-598,-544,-492,-442,-395,-350,-307,-267,-229,-194,-161,-132,-105,-81,-60,-41,-27,-15,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFFEE 1.6,SSP2 - Medium-Low Emissions,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,38512,38314,38615,38916,39215,39514,39812,39083,38345,37599,36843,36079,35596,35114,34632,34150,33669,32676,31679,30680,29677,28671,27920,27168,26413,25656,24897,24251,23604,22956,22307,21658,21007,20356,19704,19051,18397,17842,17285,16728,16169,15609,15047,14485,13921,13355,12789,12407,12025,11642,11258,10873,10487,10101,9714,9325,8936,8730,8525,8319,8113,7907,7702,7496,7290,7084,6879,6716,6553,6391,6228,6066,5903,5740,5578,5415,5253,4921,4455,3942,3389,2802,2183,1541,879,205,-477,-1162,-1845,-2518,-3179,-3821,-4438,-5023,-5575,-6085,-6549,-6960,-7291,-7622,-7954,-8284,-8615,-8946,-9277,-9607,-9939,-10156,-10368,-10573,-10774,-10970,-11159,-11341,-11518,-11689,-11853,-12009,-12159,-12302,-12437,-12564,-12684,-12796,-12900,-12995,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-13000,-12969,-12880,-12737,-12547,-12313,-12041,-11737,-11404,-11047,-10673,-10286,-9891,-9493,-9097,-8708,-8331,-7971,-7634,-7323,-7045,-6804,-6610,-6415,-6221,-6027,-5832,-5638,-5443,-5249,-5054,-4860,-4666,-4471,-4277,-4082,-3888,-3693,-3499,-3305,-3110,-2916,-2721,-2527,-2333,-2138,-1944,-1749,-1555,-1360,-1166,-1061,-960,-863,-770,-682,-599,-521,-447,-378,-315,-257,-204,-158,-116,-81,-52,-29,-13,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMAGE 3.4,SSP2 - Medium Emissions,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,39357,40001,39825,39649,39473,39297,39121,38846,38572,38298,38025,37752,37544,37337,37131,36926,36721,36443,36166,35891,35617,35345,35050,34757,34465,34174,33885,33805,33725,33645,33566,33487,33408,33330,33253,33175,33099,33048,32997,32946,32895,32843,32791,32739,32687,32635,32582,32564,32545,32528,32510,32493,32476,32459,32442,32426,32410,32419,32427,32435,32443,32451,32459,32467,32475,32483,32491,32533,32574,32615,32656,32698,32739,32780,32821,32863,32904,32866,32788,32647,32445,32192,31891,31550,31173,30769,30341,29898,29442,28984,28526,28076,27640,27224,26833,26474,26153,25876,25653,25429,25206,24982,24759,24536,24313,24089,23866,23642,23419,23196,22973,22749,22526,22302,22079,21856,21633,21409,21186,20962,20739,20516,20293,20069,19846,19622,19367,19112,18858,18603,18348,18093,17838,17583,17329,17074,16819,16564,16309,16054,15800,15545,15290,15035,14780,14525,14271,14016,13761,13506,13251,12996,12741,12487,12232,11977,11722,11467,11212,10958,10703,10448,10193,9938,9683,9429,9174,8919,8664,8409,8154,7900,7645,7390,7135,6880,6625,6370,6116,5861,5606,5351,5096,4841,4587,4332,4077,3822,3567,3312,3058,2803,2548,2293,2038,1783,1529,1391,1258,1131,1010,895,785,682,586,496,413,337,268,207,153,107,69,39,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 8s,SSP3 - High Emissions,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,38864,39015,39433,39850,40267,40682,41097,41341,41584,41826,42068,42309,42425,42540,42654,42767,42880,42925,42970,43015,43058,43102,43051,42999,42948,42897,42846,43257,43666,44073,44479,44883,45203,45523,45843,46163,46483,46631,46778,46924,47069,47214,47353,47492,47630,47767,47904,48078,48252,48425,48597,48768,48937,49106,49273,49440,49606,49764,49922,50080,50238,50396,50575,50754,50933,51112,51291,51479,51667,51854,52042,52229,52409,52588,52767,52946,53125,53220,53350,53479,53604,53726,53844,53958,54069,54174,54276,54372,54465,54552,54635,54712,54784,54851,54912,54967,55016,55058,55078,55098,55118,55138,55158,55178,55197,55217,55236,55265,55295,55325,55355,55386,55418,55449,55482,55515,55547,55581,55616,55651,55687,55723,55760,55798,55836,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55874,55801,55590,55254,54804,54252,53610,52890,52103,51262,50378,49464,48530,47590,46655,45736,44846,43997,43200,42468,41811,41243,40785,40326,39868,39410,38952,38493,38035,37577,37119,36660,36202,35744,35286,34827,34369,33911,33453,32994,32536,32078,31619,31161,30703,30245,29786,29328,28870,28412,27953,27495,27037,26579,26120,25662,25204,24746,24287,23829,23371,22913,22454,21996,21538,21079,20621,20163,19705,19246,18788,18330,17872,17413,16955,16497,16039,15580,15122,14664,14206,13747,13289,12831,12373,11914,11456,10998,10539,10081,9623,9165,8706,8248,7790,7332,6873,6415,5957,5499,5040,4582,4124,3666,3207,2749,2501,2263,2035,1817,1609,1413,1228,1054,892,743,606,483,372,275,192,124,70,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712,38914,39113,39448,39782,40114,40445,40773,40849,40924,40999,41073,41148,41371,41592,41811,42028,42243,42744,43242,43737,44229,44719,45165,45608,46048,46485,46920,47252,47583,47911,48236,48559,48916,49271,49623,49973,50321,50745,51167,51586,52002,52416,50974,49551,48148,46763,45398,42790,40194,37611,35040,32481,30453,28428,26406,24387,22371,21174,19977,18780,17583,16387,15055,13723,12391,11059,9727,8999,8272,7545,6818,6091,5542,4992,4443,3893,3344,2720,1951,1128,258,-652,-1595,-2563,-3549,-4546,-5546,-6541,-7524,-8489,-9427,-10331,-11194,-12006,-12764,-13459,-14082,-14627,-15048,-15468,-15889,-16309,-16730,-17151,-17571,-17992,-18412,-18677,-18935,-19185,-19428,-19663,-19890,-20109,-20319,-20521,-20713,-20896,-21070,-21233,-21387,-21530,-21663,-21784,-21895,-21994,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-22000,-21963,-21859,-21693,-21470,-21197,-20879,-20522,-20133,-19717,-19279,-18826,-18364,-17899,-17436,-16981,-16540,-16120,-15725,-15362,-15037,-14756,-14529,-14302,-14075,-13848,-13621,-13394,-13167,-12940,-12713,-12486,-12259,-12032,-11805,-11578,-11351,-11124,-10897,-10669,-10442,-10215,-9988,-9761,-9534,-9307,-9080,-8853,-8626,-8399,-8172,-7945,-7718,-7491,-7264,-7037,-6810,-6583,-6356,-6129,-5902,-5675,-5448,-5221,-4994,-4767,-4540,-4313,-4086,-3859,-3632,-3405,-3178,-2951,-2724,-2497,-2270,-2043,-1816,-1589,-1362,-1239,-1121,-1008,-900,-797,-700,-608,-522,-442,-368,-300,-239,-184,-136,-95,-61,-34,-15,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
